Company,PartNum,WebCategory1_c,WebCategory2_c,WebFamily_c,OrderInWebFamily_c
AU,12220,"Pipes, Fittings & Plumbing", PVC Fittings,Male Valve Adaptor,20mm
AU,12225,"Pipes, Fittings & Plumbing", PVC Fittings,Male Valve Adaptor,25mm
AU,12240,"Pipes, Fittings & Plumbing", PVC Fittings,Male Valve Adaptor,40mm
AU,12250,"Pipes, Fittings & Plumbing", PVC Fittings,Male Valve Adaptor,50mm
AU,12320,"Pipes, Fittings & Plumbing", PVC Fittings,Female Faucet Adaptor,20mm
AU,12325,"Pipes, Fittings & Plumbing", PVC Fittings,Female Faucet Adaptor,25mm
AU,12340,"Pipes, Fittings & Plumbing", PVC Fittings,Female Faucet Adaptor,40mm
AU,12350,"Pipes, Fittings & Plumbing", PVC Fittings,Female Faucet Adaptor,50mm
AU,12543,"Pipes, Fittings & Plumbing", PVC Fittings,Reducing Bushs,40 x 25mm
AU,12555,"Pipes, Fittings & Plumbing", PVC Fittings,Reducing Bushs,50 x 40mm
AU,12565,"Pipes, Fittings & Plumbing", PVC Fittings,Reducing Bushs,65 x 50mm
AU,12586,"Pipes, Fittings & Plumbing", PVC Fittings,Reducing Bushs,80 x 50mm
AU,12615,"Pipes, Fittings & Plumbing", PVC Fittings,End Caps,15mm
AU,12620,"Pipes, Fittings & Plumbing", PVC Fittings,End Caps,20mm
AU,12625,"Pipes, Fittings & Plumbing", PVC Fittings,End Caps,25mm
AU,12640,"Pipes, Fittings & Plumbing", PVC Fittings,End Caps,40mm
AU,12642,"Pipes, Fittings & Plumbing", PVC Fittings,End Caps,40mm
AU,12650,"Pipes, Fittings & Plumbing", PVC Fittings,End Caps,50mm
AU,12652,"Pipes, Fittings & Plumbing", PVC Fittings,End Caps,50mm
AU,12715,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,15mm
AU,12720,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,20mm
AU,12725,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,25mm
AU,12740,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,40mm
AU,12742,"Pipes, Fittings & Plumbing",PVC Fittings,Couplings,40mm
AU,12750,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,50mm
AU,12752,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,50mm
AU,12765,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,65mm
AU,12780,"Pipes, Fittings & Plumbing", PVC Fittings,Couplings,80mm
AU,12842,"Pipes, Fittings & Plumbing", PVC Fittings,Reducing Couplings,40 x 20mm
AU,12843,"Pipes, Fittings & Plumbing", PVC Fittings,Reducing Couplings,40 x 25mm
AU,12855,"Pipes, Fittings & Plumbing", PVC Fittings,Reducing Couplings,50 x 40mm
AU,13003,"Pipes, Fittings & Plumbing",Plumbing Products,Solvents,500ml
AU,13004,"Pipes, Fittings & Plumbing",Plumbing Products,Solvents,500ml
AU,13011,"Pipes, Fittings & Plumbing",Plumbing Products,Flexible Pvc Hoses,25mm x 15m Roll
AU,13012,"Pipes, Fittings & Plumbing",Plumbing Products,Flexible Pvc Hoses,40mm x 15m Roll
AU,13013,"Pipes, Fittings & Plumbing",Plumbing Products,Flexible Pvc Hoses,50mm x 15m Roll
AU,13021,"Pipes, Fittings & Plumbing",Plumbing Products,Rubber Couplings,50mm x 50mm
AU,13022,"Pipes, Fittings & Plumbing",Plumbing Products,Rubber Couplings,50mm x 40mm
AU,13023,"Pipes, Fittings & Plumbing",Plumbing Products,Rubber Couplings,40mm x 40mm
AU,13024,"Pipes, Fittings & Plumbing",Plumbing Products,Rubber Couplings,40mm x 32mm
AU,13025,"Pipes, Fittings & Plumbing",Plumbing Products,Rubber Couplings,32mm x 32mm
AU,13027,"Pipes, Fittings & Plumbing",Plumbing Products,Rubber Couplings,40mm
AU,13028,"Pipes, Fittings & Plumbing",Plumbing Products,Rubber Couplings,50mm
AU,13031,"Pipes, Fittings & Plumbing",Plumbing Products,Hose Clamps,25mm
AU,13032,"Pipes, Fittings & Plumbing",Plumbing Products,Hose Clamps,40mm
AU,13033,"Pipes, Fittings & Plumbing",Plumbing Products,Hose Clamps,50mm
AU,13041,"Pipes, Fittings & Plumbing",Plumbing Products,Galvanised Saddles,40mm
AU,13042,"Pipes, Fittings & Plumbing",Plumbing Products,Galvanised Saddles,50mm
AU,13043,Heaters,Zane Solar,Roof Fasteners  ,40mm
AU,13044,Heaters,Zane Solar,Roof Fasteners  ,50mm
AU,13051,"Pipes, Fittings & Plumbing",Plumbing Products,Plumbing Accessories,12mm x 10m Roll
AU,13056,"Pipes, Fittings & Plumbing",Plumbing Products,Plumbing Accessories,150g per set
AU,13085,"Pipes, Fittings & Plumbing",Plumbing Products,Expansion Plugs,25mm
AU,13086,"Pipes, Fittings & Plumbing",Plumbing Products,Expansion Plugs,32mm
AU,13087,"Pipes, Fittings & Plumbing",Plumbing Products,Expansion Plugs,40mm
AU,13088,"Pipes, Fittings & Plumbing",Plumbing Products,Expansion Plugs,50mm
AU,13104,"Pipes, Fittings & Plumbing",Plumbing Products,Solvents,500ml
AU,13202,"Pipes, Fittings & Plumbing",Plumbing Products,Solvents,500ml
AU,13203,"Pipes, Fittings & Plumbing",Plumbing Products,Solvents,500ml
AU,14020,Valves,Valves,Compact Ball Valves,20mm
AU,14025,Valves,Valves,Compact Ball Valves,25mm
AU,14040,Valves,Valves,Compact Ball Valves,40mm
AU,14050,Valves,Valves,Compact Ball Valves,50mm
AU,14420,"Pipes, Fittings & Plumbing",Plumbing Products,Screen-Foot Valve,20mm
AU,14560,"Pipes, Fittings & Plumbing",Plumbing Products,In Line Strainer, 
AU,14640,Valves,Valves,Non-Return Valves,40mm
AU,14641,Valves,Valves,Flow Check Valves,40/50mm
AU,14650,Valves,Valves,Non-Return Valves,50mm
AU,14651,Valves,Valves,Flow Check Valves,50/65mm
